date,daily_electricity
2016-07-22,1260104.0
2016-07-23,1164008.0
2016-07-24,1110972.0
2016-07-25,1223963.0
2016-07-26,1252698.0
2016-07-27,1236246.0
2016-07-28,1212060.0
2016-07-29,1203161.0
2016-07-30,1128731.0
2016-07-31,1092748.0
2016-08-01,1071654.0
2016-08-02,1234538.0
2016-08-03,1210036.0
2016-08-04,1163252.0
2016-08-05,1197454.0
2016-08-06,1072171.0
2016-08-07,1009637.0
2016-08-08,1121198.0
2016-08-09,1187925.0
2016-08-10,1220281.0
2016-08-11,1226404.0
2016-08-12,1216470.0
2016-08-13,1031069.0
2016-08-14,1025857.0
2016-08-15,1100029.0
2016-08-16,1151421.0
2016-08-17,1142073.0
2016-08-18,1147455.0
2016-08-19,1146416.0
2016-08-20,1086951.0
2016-08-21,1028374.0
2016-08-22,1156050.0
2016-08-23,1209642.0
2016-08-24,1235018.0
2016-08-25,1243395.0
2016-08-26,1238996.0
2016-08-27,1081905.0
2016-08-28,1019725.0
2016-08-29,1140832.0
2016-08-30,1216401.0
2016-08-31,1236113.0
2016-09-01,1235158.0
2016-09-02,1223810.0
2016-09-03,1116561.0
2016-09-04,1061307.0
2016-09-05,1190763.0
2016-09-06,1247798.0
2016-09-07,1262076.0
2016-09-08,1277518.0
2016-09-09,1245179.0
2016-09-10,1112846.0
2016-09-11,1060855.0
2016-09-12,1244527.0
2016-09-13,1300928.0
2016-09-14,1271743.0
2016-09-15,1253135.0
2016-09-16,1277892.0
2016-09-17,1124417.0
2016-09-18,1062829.0
2016-09-19,1164903.0
2016-09-20,1255830.0
2016-09-21,1256553.0
2016-09-22,1248663.0
2016-09-23,1258466.0
2016-09-24,1117438.0
2016-09-25,1056346.0
2016-09-26,1211657.0
2016-09-27,1223873.0
2016-09-28,1223991.0
2016-09-29,1231374.0
2016-09-30,1191058.0
2016-10-01,1169733.0
2016-10-02,1109177.0
2016-10-03,1048289.0
2016-10-04,1276131.0
2016-10-05,1268598.0
2016-10-06,1180525.0
2016-10-07,1229998.0
2016-10-08,1142331.0
2016-10-09,1137698.0
2016-10-10,1266608.0
2016-10-11,1290919.0
2016-10-12,1325585.0
2016-10-13,1348532.0
2016-10-14,1328297.0
2016-10-15,1239940.0
2016-10-16,1197128.0
2016-10-17,1241435.0
2016-10-18,1280388.0
2016-10-19,1344985.0
2016-10-20,1349776.0
2016-10-21,1358569.0
2016-10-22,1240769.0
2016-10-23,1226574.0
2016-10-24,1300966.0
2016-10-25,1303207.0
2016-10-26,1346269.0
2016-10-27,1363489.0
2016-10-28,1191922.0
2016-10-29,1245225.0
2016-10-30,1265491.0
2016-10-31,1282983.0
2016-11-01,1274484.0
2016-11-02,1344983.0
2016-11-03,1396781.0
2016-11-04,1390647.0
2016-11-05,1282996.0
2016-11-06,1341751.0
2016-11-07,1494140.0
2016-11-08,1517622.0
2016-11-09,1548798.0
2016-11-10,1513159.0
2016-11-11,1412615.0
2016-11-12,1385821.0
2016-11-13,1326076.0
2016-11-14,1450845.0
2016-11-15,1503326.0
2016-11-16,1525817.0
2016-11-17,1566321.0
2016-11-18,1578186.0
2016-11-19,1502267.0
2016-11-20,1457538.0
2016-11-21,1546068.0
2016-11-22,1566521.0
2016-11-23,1556430.0
2016-11-24,1593372.0
2016-11-25,1596703.0
2016-11-26,1500341.0
2016-11-27,1469978.0
2016-11-28,1680384.0
2016-11-29,1701533.0
2016-11-30,1671813.0
2016-12-01,1692943.0
2016-12-02,1673072.0
2016-12-03,1579884.0
2016-12-04,1598341.0
2016-12-05,1684296.0
2016-12-06,1680318.0
2016-12-07,1720334.0
2016-12-08,1692751.0
2016-12-09,1650794.0
2016-12-10,1581897.0
2016-12-11,1526371.0
2016-12-12,1606495.0
2016-12-13,1616425.0
2016-12-14,1628695.0
2016-12-15,1637989.0
2016-12-16,1638161.0
2016-12-17,1533986.0
2016-12-18,1542850.0
2016-12-19,1657509.0
2016-12-20,1685648.0
2016-12-21,1726019.0
2016-12-22,1701855.0
2016-12-23,1664382.0
2016-12-24,1556321.0
2016-12-25,1461076.0
2016-12-26,1516287.0
2016-12-27,1619968.0
2016-12-28,1686745.0
2016-12-29,1699915.0
2016-12-30,1716406.0
2016-12-31,1683710.0
2017-01-01,1623490.0
2017-01-02,1698333.0
2017-01-03,1799699.0
2017-01-04,1852712.0
2017-01-05,1806540.0
2017-01-06,1817393.0
2017-01-07,1760418.0
2017-01-08,1644600.0
2017-01-09,1798186.0
2017-01-10,1842213.0
2017-01-11,1841993.0
2017-01-12,1841960.0
2017-01-13,1849671.0
2017-01-14,1745938.0
2017-01-15,1678642.0
2017-01-16,1794805.0
2017-01-17,1919837.0
2017-01-18,2031045.0
2017-01-19,2034176.0
2017-01-20,1992187.0
2017-01-21,1840979.0
2017-01-22,1756410.0
2017-01-23,1925945.0
2017-01-24,1971899.0
2017-01-25,1983626.0
2017-01-26,1983755.0
2017-01-27,1889731.0
2017-01-28,1717488.0
2017-01-29,1695246.0
2017-01-30,1804426.0
2017-01-31,1660013.0
2017-02-01,1768447.0
2017-02-02,1815237.0
2017-02-03,1780142.0
2017-02-04,1632768.0
2017-02-05,1603871.0
2017-02-06,1746759.0
2017-02-07,1745406.0
2017-02-08,1758539.0
2017-02-09,1774031.0
2017-02-10,1801840.0
2017-02-11,1697057.0
2017-02-12,1629621.0
2017-02-13,1752476.0
2017-02-14,1739257.0
2017-02-15,1674391.0
2017-02-16,1673900.0
2017-02-17,1699627.0
2017-02-18,1557373.0
2017-02-19,1544163.0
2017-02-20,1645764.0
2017-02-21,1652445.0
2017-02-22,1689250.0
2017-02-23,1697572.0
2017-02-24,1652803.0
2017-02-25,1594817.0
